name,language,flag,bg_2,bg_3,bg_4,bg_5,bg_6,bg_7,bg_8,bg_9,bg_10,bg_11,bg_12,bg_13,bg_14
chinese,ZH,flags/chinese.png,true,false,false,false,false,false,false,false,false,false,false,false,false
czech,CS,flags/czech.png,true,false,false,false,false,false,false,false,false,false,false,false,false
danish,DA,flags/danish.png,true,false,false,false,false,false,false,false,false,false,false,false,false
dutch,NL,flags/dutch.png,true,false,false,false,false,false,false,false,false,false,false,false,false
english,EN,flags/english.png,true,false,false,false,false,false,false,false,false,false,false,false,false
french,FR,flags/french.png,true,false,false,false,false,false,false,false,false,false,false,false,false
german,DE,flags/german.png,true,false,false,false,false,false,false,false,false,false,false,false,false
hungarian,HU,flags/hungarian.png,true,false,false,false,false,false,false,false,false,false,false,false,false
icelandic,IS,flags/icelandic.png,true,false,false,false,false,false,false,false,false,false,false,false,false
hindi,HI,flags/indian.png,true,false,false,false,false,false,false,false,false,false,false,false,false
telugu,TE,flags/indian.png,true,false,false,false,false,false,false,false,false,false,false,false,false
farsi,FA,flags/iranian.png,true,false,false,false,false,false,false,false,false,false,false,false,false
italian,IT,flags/italian.png,true,false,false,false,false,false,false,false,false,false,false,false,false
japanese,JA,flags/japanese.png,true,false,false,false,false,false,false,false,false,false,false,false,false
korean,KO,flags/korean.png,true,false,false,false,false,false,false,false,false,false,false,false,false
norwegian,NO,flags/norwegian.png,true,false,false,false,false,false,false,false,false,false,false,false,false
polish,PL,flags/polish.png,true,false,false,false,false,false,false,false,false,false,false,false,false
portuguese,PT,flags/portuguese.png,true,false,false,false,false,false,false,false,false,false,false,false,false
russian,RU,flags/russian.png,true,false,false,false,false,false,false,false,false,false,false,false,false
spanish,ES,flags/spanish.png,true,false,false,false,false,false,false,false,false,false,false,false,false
swedish,SV,flags/swedish.png,true,false,false,false,false,false,false,false,false,false,false,false,false
thai,TH,flags/thai.png,true,false,false,false,false,false,false,false,false,false,false,false,false
turkish,TR,flags/turkish.png,true,false,false,false,false,false,false,false,false,false,false,false,false
ukrainian,UK,flags/ukrainian.png,true,false,false,false,false,false,false,false,false,false,false,false,false
