name,language,flag,bg_2,bg_3,bg_4,bg_5,bg_6,bg_7,bg_8,bg_9,bg_10,bg_11,bg_12,bg_13,bg_14
chinese,CHINESE,flags/chinese.png,false,false,false,false,false,true,false,false,false,false,false,false,false
czech,CZECH,flags/czech.png,false,false,false,true,false,false,false,false,false,false,false,false,false
danish,DANISH,flags/danish.png,false,false,false,false,true,false,false,false,false,false,false,false,false
dutch,DUTCH,flags/dutch.png,false,false,false,true,false,false,false,false,false,false,false,false,false
english,ENGLISH,flags/english.png,false,false,false,false,false,true,false,false,false,false,false,false,false
french,FRENCH,flags/french.png,false,false,false,false,true,false,false,false,false,false,false,false,false
german,GERMAN,flags/german.png,false,false,false,false,true,false,false,false,false,false,false,false,false
hungarian,HUNGARIAN,flags/hungarian.png,false,false,false,false,false,false,false,true,false,false,false,false,false
icelandic,ICELANDIC,flags/icelandic.png,false,false,false,false,false,false,false,true,false,false,false,false,false
hindi,HINDI,flags/indian.png,false,false,false,true,false,false,false,false,false,false,false,false,false
telugu,TELUGU,flags/indian.png,false,false,false,false,true,false,false,false,false,false,false,false,false
farsi,FARSI,flags/iranian.png,false,false,false,true,false,false,false,false,false,false,false,false,false
italian,ITALIAN,flags/italian.png,false,false,false,false,false,true,false,false,false,false,false,false,false
japanese,JAPANESE,flags/japanese.png,false,false,false,false,false,false,true,false,false,false,false,false,false
korean,KOREAN,flags/korean.png,false,false,false,false,true,false,false,false,false,false,false,false,false
norwegian,NORWEGIAN,flags/norwegian.png,false,false,false,false,false,false,false,true,false,false,false,false,false
polish,POLISH,flags/polish.png,false,false,false,false,true,false,false,false,false,false,false,false,false
portuguese,PORTUGUESE,flags/portuguese.png,false,false,false,false,false,false,false,false,true,false,false,false,false
russian,RUSSIAN,flags/russian.png,false,false,false,false,false,true,false,false,false,false,false,false,false
spanish,SPANISH,flags/spanish.png,false,false,false,false,false,true,false,false,false,false,false,false,false
swedish,SWEDISH,flags/swedish.png,false,false,false,false,false,true,false,false,false,false,false,false,false
thai,THAI,flags/thai.png,false,false,true,false,false,false,false,false,false,false,false,false,false
turkish,TURKISH,flags/turkish.png,false,false,false,false,false,true,false,false,false,false,false,false,false
ukrainian,UKRAINIAN,flags/ukrainian.png,false,false,false,false,false,false,false,true,false,false,false,false,false
