name,language,flag,bg_2,bg_3,bg_4,bg_5,bg_6,bg_7,bg_8,bg_9,bg_10,bg_11,bg_12,bg_13,bg_14
chinese,CHINESISCH,flags/chinese.png,false,false,false,false,false,false,false,false,true,false,false,false,false
czech,TSCHECHISCH,flags/czech.png,false,false,false,false,false,false,false,false,false,true,false,false,false
danish,DÄNISCH,flags/danish.png,false,false,false,false,false,true,false,false,false,false,false,false,false
dutch,NIEDERLÄNDISCH,flags/dutch.png,false,false,false,false,false,false,false,false,false,false,false,false,true
english,ENGLISCH,flags/english.png,false,false,false,false,false,false,true,false,false,false,false,false,false
french,FRANZÖSISCH,flags/french.png,false,false,false,false,false,false,false,false,false,true,false,false,false
german,DEUTSCH,flags/german.png,false,false,false,false,false,true,false,false,false,false,false,false,false
hungarian,UNGARISCH,flags/hungarian.png,false,false,false,false,false,false,false,true,false,false,false,false,false
icelandic,ISLÄNDISCH,flags/icelandic.png,false,false,false,false,false,false,false,false,true,false,false,false,false
hindi,HINDI,flags/indian.png,false,false,false,true,false,false,false,false,false,false,false,false,false
telugu,TELUGU,flags/indian.png,false,false,false,false,true,false,false,false,false,false,false,false,false
farsi,FARSI,flags/iranian.png,false,false,false,true,false,false,false,false,false,false,false,false,false
italian,ITALIÄNISCH,flags/italian.png,false,false,false,false,false,false,false,false,false,true,false,false,false
japanese,JAPANISCH,flags/japanese.png,false,false,false,false,false,false,false,true,false,false,false,false,false
korean,KOREANISCH,flags/korean.png,false,false,false,false,false,false,false,false,true,false,false,false,false
norwegian,NORWEGISCH,flags/norwegian.png,false,false,false,false,false,false,false,false,true,false,false,false,false
polish,POLNISCH,flags/polish.png,false,false,false,false,false,false,true,false,false,false,false,false,false
portuguese,PORTUGIESISCH,flags/portuguese.png,false,false,false,false,false,false,false,false,false,false,false,true,false
russian,RUSSISCH,flags/russian.png,false,false,false,false,false,false,true,false,false,false,false,false,false
spanish,SPANISCH,flags/spanish.png,false,false,false,false,false,false,true,false,false,false,false,false,false
swedish,SCHWEDISCH,flags/swedish.png,false,false,false,false,false,false,false,false,true,false,false,false,false
thai,THAI,flags/thai.png,false,false,true,false,false,false,false,false,false,false,false,false,false
turkish,TÜRKISCH,flags/turkish.png,false,false,false,false,false,false,true,false,false,false,false,false,false
ukrainian,UKRAINISCH,flags/ukrainian.png,false,false,false,false,false,false,false,false,true,false,false,false,false
